,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales
84,Billy Hatcher and the Giant Egg,GC,2003,Platform,Sega,0.19,0.05,0,0.01
85,Tom and Jerry in Fists of Furry,N64,2000,Fighting,Ubisoft,0.13,0.03,0,0
86,Resident Evil: Dead Aim,PS2,2003,Action,Capcom,0.17,0.13,0,0.04
87,Seiken Densetsu 3,SNES,1995,Role-Playing,SquareSoft,0,0,0.89,0
88,Spy vs Spy,XB,2005,Action,Global Star,0.08,0.02,0,0
89,Harry Potter and the Deathly Hallows - Part 1,PS3,2010,Action,Electronic Arts,0.13,0.21,0,0.08
90,Bugs Bunny: Lost in Time,PS,1999,Platform,Infogrames,0.22,0.15,0,0.03
91,Tom Clancy's Ghost Recon: Predator,PSP,2010,Shooter,Ubisoft,0.07,0.02,0,0.02
92,Death Jr.,PSP,2005,Platform,Konami Digital Entertainment,0.17,0,0,0.01
93,Disney Universe,Wii,2011,Action,Disney Interactive Studios,0.67,0.3,0,0.1
94,Pac-Man and the Ghostly Adventures 2,PS3,2014,Adventure,Namco Bandai Games,0.05,0.04,0,0.02
95,Need for Speed Underground,PC,2003,Racing,Electronic Arts,0,0.04,0,0.01
96,Robotron 64,N64,1998,Shooter,GT Interactive,0.07,0.02,0,0
97,Gummy Bears Magical Medallion,Wii,2011,Platform,Storm City Games,0.02,0,0,0
98,Tony Hawk's Pro Skater 2,N64,2001,Sports,Activision,0.59,0.16,0,0.01
99,Red Steel 2,Wii,2010,Shooter,Ubisoft,0.36,0.21,0.01,0.06
100,Romancing SaGa 2,SNES,1993,Role-Playing,SquareSoft,0,0,1.17,0
101,Samurai Warriors Chronicles 3,3DS,2014,Action,Tecmo Koei,0,0,0.08,0
102,Where's Waldo? The Fantastic Journey,Wii,2009,Adventure,Ubisoft,0.18,0,0,0.01
103,Nobunaga no Yabou: Ranseiki,PS2,2002,Strategy,Tecmo Koei,0,0,0.13,0
104,The Guy Game,XB,2004,Misc,Gathering of Developers,0.05,0.02,0,0
105,Metroid Prime Pinball,DS,2005,Misc,Nintendo,0.21,0,0.02,0.02
106,NCAA Football 08,XB,2007,Sports,Electronic Arts,0.06,0.02,0,0
107,NHL 06,XB,2005,Sports,Electronic Arts,0.19,0.05,0,0.01
108,Madden NFL 2001,PS2,2000,Sports,Electronic Arts,1.19,0.07,0.05,0.2
109,Yakuza Kiwami,PS3,2016,Adventure,Sega,0,0,0.12,0
110,Yu-Gi-Oh! 5D's Wheelie Breakers (JP sales),Wii,2009,Racing,Konami Digital Entertainment,0,0,0.02,0
111,Ore wa Shoujo Mangaka,PSP,2012,Action,Giza10,0,0,0.02,0
112,Rocky Balboa,PSP,2007,Sports,Ubisoft,0.01,0.09,0,0.01
113,Victory Spike,PS,1996,Sports,Imagineer,0,0,0.01,0
114,Bubble Bobble Revolution,DS,2005,Puzzle,Atari,0.04,0,0,0
115,State of Emergency 2,PS2,2006,Shooter,SouthPeak Games,0.04,0.03,0,0.01
116,Lords of the Fallen,PC,2014,Role-Playing,Square Enix,0,0.03,0,0
117,Mazes of Fate DS,DS,2008,Role-Playing,Graffiti,0.04,0,0,0
118,Jikkyou Powerful Pro Baseball 2016,PS4,2016,Sports,Konami Digital Entertainment,0,0,0.17,0
119,King Arthur,GC,2004,Action,Konami Digital Entertainment,0.03,0.01,0,0
120,Magna Carta Portable,PSP,2006,Role-Playing,Banpresto,0,0,0.03,0
121,Lise no Atelier: Ordre no Renkinjutsushi,DS,2007,Role-Playing,Gust,0,0,0.04,0
122,Armored Core: Master of Arena,PS,1999,Simulation,From Software,0.07,0.05,0.13,0.02
123,Call of Duty 4: Modern Warfare,X360,2007,Shooter,Activision,5.91,2.38,0.13,0.9
124,Shrek Super Party,GC,2003,Misc,TDK Mediactive,0.04,0.01,0,0
125,Steins;Gate: Hiyoku Renri no Darling,PS3,2012,Adventure,5pb,0,0,0.02,0
126,Crime Scene,DS,2009,Adventure,Nobilis,0,0.02,0,0
127,Mortal Kombat,PS3,2011,Fighting,Warner Bros. Interactive Entertainment,1.98,0.55,0,0.32
128,Circuit Breakers,PS,1998,Racing,Mindscape,0.04,0.03,0,0
129,Rozen Maiden: Gebetgarten,PS2,2007,Fighting,Taito,0,0,0.01,0
130,Sea Park Tycoon,DS,2010,Simulation,Foreign Media Games,0.02,0.01,0,0
131,Hot Wheels: Battle Force 5,DS,2009,Racing,Activision,0.13,0.02,0,0.01
132,Rabbids Invasion: The Interactive TV Show,PS4,2014,Misc,Ubisoft,0,0.01,0,0
133,Cabela's Big Game Hunter: Pro Hunts,WiiU,2014,Shooter,Activision,0.02,0,0,0
134,Forza Horizon 2,X360,2014,Racing,Microsoft Game Studios,0.35,0.43,0,0.07
135,Hitman: HD Trilogy,PS3,2013,Action,Square Enix,0.07,0.1,0,0.04
136,Super Robot Taisen XO,X360,2006,Strategy,Banpresto,0,0,0.01,0
137,Call of Juarez: The Cartel,PS3,2011,Shooter,Ubisoft,0.12,0.13,0,0.05
138,Warriors Orochi 3,PS4,2014,Action,Tecmo Koei,0.04,0.05,0.04,0.02
139,The Incredibles: Rise of the Underminer,PS2,2005,Action,THQ,0.18,0.14,0,0.05
140,Looney Tunes: Galactic Sports,PSV,2015,Action,Sony Computer Entertainment,0,0.06,0,0.02
141,Sumikko Gurashi: Koko ga Ochitsukundesu,3DS,2014,Action,Nippon Columbia,0,0,0.17,0
142,FIFA Manager 12,PC,2011,Sports,Electronic Arts,0,0.03,0,0.01
143,Buffy the Vampire Slayer: Chaos Bleeds,PS2,2003,Action,Vivendi Games,0.09,0.07,0,0.02
144,UEFA Euro 2008 Austria-Switzerland,PSP,2008,Sports,Electronic Arts,0.06,0.13,0,0.06
145,TOCA Race Driver 3,PC,2006,Racing,Codemasters,0,0.02,0,0
146,Fallout 4,PC,2015,Role-Playing,Bethesda Softworks,0.5,0.63,0,0.1
147,"Army Men World War: Land, Sea, Air",PS,2000,Action,3DO,0.17,0.12,0,0.02
148,Dai-2-Ji Super Robot Taisen α,PS2,2003,Strategy,Banpresto,0,0,0.6,0
149,Yu-Gi-Oh! The Sacred Cards,GBA,2002,Role-Playing,Konami Digital Entertainment,0.94,0.35,0,0.02
150,Nicola Kanshuu: Model * Oshare Audition,DS,2010,Misc,Alchemist,0,0,0.06,0
151,SX Superstar,GC,2003,Racing,Acclaim Entertainment,0.03,0.01,0,0
152,Style Savvy: Trendsetters,3DS,2012,Simulation,Nintendo,0.16,0.02,0.53,0.01
153,Densetsu no Stafi 4,DS,2006,Platform,Nintendo,0,0,0.17,0
154,"Simple 2500 Series Portable!! Vol. 12: The Hohei 2: Senyuu yo, Sakini Ike",PSP,2009,Action,D3Publisher,0,0,0.02,0
155,The Sims 2: Castaway,DS,2007,Simulation,Electronic Arts,0.63,0.05,0,0.06
156,Gegege no Kitarou 2: Youkai Gundan no Chousen,NES,1987,Role-Playing,Namco Bandai Games,0,0,1.25,0
157,Tom Clancy's Rainbow Six: Vegas 2,PC,2008,Shooter,Ubisoft,0,0.02,0,0
158,Disney Guilty Party,Wii,2010,Misc,Disney Interactive Studios,0.43,0,0,0.03
159,International Superstar Soccer 2000 (JP weekly sales),N64,1999,Sports,Konami Digital Entertainment,0,0,0.18,0
160,PictoImage,DS,2007,Puzzle,Sega,0.1,0,0,0.01
161,Tamagotchi no Narikiri Channel,DS,2009,Role-Playing,Namco Bandai Games,0,0,0.15,0
162,Doom 3 BFG Edition,PC,2012,Shooter,Bethesda Softworks,0,0.02,0,0.01
163,Dragon Quest VII: Warriors of Eden,PS,2000,Role-Playing,Enix Corporation,0.2,0.14,4.1,0.02
164,El Shaddai: Ascension of the Metatron,X360,2011,Action,Ignition Entertainment,0.07,0.05,0.03,0.01
165,Burnout 3: Takedown,PS2,2004,Racing,Electronic Arts,1.23,1.11,0,0.34
166,Dragon Quest Builders: Revive Alefgard,PS4,2016,Role-Playing,Square Enix,0,0,0.22,0
167,MediEvil: Resurrection,PSP,2005,Adventure,Sony Computer Entertainment,0.19,0.41,0,0.22
168,Twinkle * Crusaders GoGo!,PSP,2010,Adventure,ASCII Media Works,0,0,0.02,0
169,One Piece: Grand Battle!,PS,2001,Fighting,Atari,0,0,0.46,0.03
170,Jikkyou Powerful Pro Yakyuu 2011 Ketteiban,PSP,2011,Sports,Konami Digital Entertainment,0,0,0.13,0
171,The Warriors,PS2,2005,Action,Take-Two Interactive,0.44,0.02,0,0.07
172,The Sims 2,PC,2004,Simulation,Electronic Arts,0.02,0.24,0,0.05
173,NCAA Football 07,XB,2006,Sports,Electronic Arts,0.42,0.12,0,0.01
174,Famicom Mini: SD Gundam World Gachapon Senshi - Scramble Wars,GBA,2004,Strategy,Nintendo,0,0,0.08,0
175,Marvel Super Heroes,PS,1997,Fighting,Virgin Interactive,0.19,0.13,0,0.02
176,Max Payne,GBA,2003,Shooter,Take-Two Interactive,0.02,0.01,0,0
177,Curse of the Amsterdam Diamond,DS,2012,Puzzle,Easy Interactive,0,0.01,0,0
178,SD Gundam G Generation World,PSP,2011,Strategy,Namco Bandai Games,0,0,0.34,0
179,Conflict: Desert Storm,GC,2003,Shooter,SCi,0.06,0.02,0,0
180,Mystic Ark,SNES,1995,Role-Playing,Enix Corporation,0,0,0.13,0
181,F.E.A.R. 2: Project Origin,PS3,2009,Shooter,Warner Bros. Interactive Entertainment,0.19,0.21,0.01,0.08
182,Madden NFL 07,XB,2006,Sports,Electronic Arts,0.97,0.03,0,0.03
183,Rugby 06,XB,2006,Sports,Electronic Arts,0.01,0,0,0
184,FIFA Soccer,PSP,2005,Sports,Electronic Arts,0.11,0,0,0.01
185,Ore no Yome: Anata Dake no Hanayome,X360,2010,Adventure,Idea Factory,0,0,0.02,0
186,Goblin Commander: Unleash the Horde,GC,2003,Strategy,Jaleco,0.01,0,0,0
187,Phoenix Wright: Revived Turnabout,DS,2008,Misc,Capcom,0,0,0.04,0
188,Fatal Frame III: The Tormented,PS2,2005,Action,Take-Two Interactive,0.04,0.03,0,0.01
189,Garfield's Nightmare,DS,2007,Platform,Game Factory,0.01,0,0,0
190,Turbo Turtle Adventure,GBA,2002,Puzzle,Majesco Entertainment,0.04,0.01,0,0
191,Carnage Heart EXA,PSP,2010,Strategy,ArtDink,0,0,0.02,0
192,Left 4 Dead 2,X360,2009,Shooter,Electronic Arts,2.67,0.89,0.05,0.37
193,WWE 2K15,PS3,2014,Sports,Take-Two Interactive,0.36,0.35,0,0.14
194,Dora the Explorer: Super Star Adventures,GBA,2004,Adventure,Game Factory,0.17,0.06,0,0
195,Shin Chan: ¡Aventuras de Cine!,DS,2008,Platform,505 Games,0,0,0.15,0
196,The Legend of Heroes: Trails of Cold Steel II,PS3,2014,Role-Playing,Nippon Ichi Software,0.01,0,0.11,0
197,NBA 2K17,X360,2016,Sports,Take-Two Interactive,0.04,0,0,0.01
198,Shutsugeki! Otometachi no Senjou 2: Ikusabana no Kizuna,PSP,2011,Strategy,System Soft,0,0,0.01,0
199,Doki-Doki Universe,PSV,2013,Adventure,Sony Computer Entertainment,0.01,0.04,0,0.01
200,Dr. Seuss' The Cat in the Hat,XB,2003,Misc,Vivendi Games,0.08,0.02,0,0
201,Alpha Protocol,PC,2010,Role-Playing,Sega,0,0.03,0,0.01
202,Bust-A-Move '99,PS,1997,Puzzle,Acclaim Entertainment,0.18,0.12,0,0.02
203,Puzzle Quest: Challenge of the Warlords,DS,2007,Puzzle,D3Publisher,0.28,0.01,0.03,0.02
204,Cabela's Deer Hunt 2005 Season,PS2,2004,Sports,Activision,0.18,0.14,0,0.05
205,Pachi-Slot Higrashi no Naku Koro ni Matsuri,PS2,2010,Misc,Alchemist,0,0,0.02,0
206,Mortal Kombat: Tournament Edition,GBA,2003,Fighting,Midway Games,0.01,0,0,0
207,FIFA Street 2,GC,2006,Sports,Electronic Arts,0.09,0.02,0,0
208,Pac 'n Roll,DS,2005,Platform,Namco Bandai Games,0.09,0,0.02,0.01
209,Harry Potter and the Sorcerer's Stone,XB,2003,Action,Electronic Arts,0.05,0.02,0,0
210,Mountain King,2600,1982,Action,CBS Electronics,0.29,0.02,0,0
211,Saki: Zenkoku-hen,PSV,2015,Misc,Kaga Create,0,0,0.05,0
212,Wild West Shootout,Wii,2010,Shooter,Zoo Games,0.01,0.01,0,0
213,NASCAR Unleashed,PS3,2011,Racing,Activision,0.09,0,0,0.01
214,Kouchuu Ouja Mushi King: Super Collection,DS,2007,Action,Sega,0,0,0.11,0
215,¡Shin Chan Flipa en colores!,DS,2007,Platform,505 Games,0,0,0.14,0
216,Phantom Crash,XB,2002,Simulation,Phantagram,0.03,0.01,0.01,0
217,MotoGP '06,X360,2006,Racing,THQ,0.11,0.01,0,0.01
218,Company of Heroes,PC,2006,Strategy,THQ,0,0.04,0,0.01
219,Road Trip: Shifting Gears,GBA,2002,Racing,Zoo Digital Publishing,0.01,0,0,0
220,Dragon Quest IV: Michibikareshi Monotachi,PS,2001,Role-Playing,Enix Corporation,0,0,1.2,0.01
221,Assassin's Creed Chronicles,PSV,2016,Action,Ubisoft,0.02,0.06,0.01,0.02
222,MLB 12: The Show,PSV,2012,Sports,Sony Computer Entertainment,0.18,0,0,0.02
223,Just Dance 3,Wii,2011,Misc,Ubisoft,6.05,3.15,0,1.07
224,Pokémon I Choose You / Squirtle Squad Game Boy Advance Video,GBA,2004,Misc,Nintendo,0.13,0.05,0,0
225,Namco Museum Vol.4,PS,1996,Misc,Sony Computer Entertainment,0.02,0.01,0.16,0.01
226,Disney's Winnie the Pooh's Rumbly Tumbly Adventure,GC,2005,Platform,Ubisoft,0.05,0.01,0,0
227,Guinness World Records: The Videogame,DS,2008,Action,Warner Bros. Interactive Entertainment,0.47,0.01,0,0.04
228,Super Robot Taisen OG Saga: Masou Kishin III - Pride of Justice,PSV,2013,Strategy,Namco Bandai Games,0,0,0.03,0
229,Guitar Hero: Van Halen,PS2,2009,Misc,Activision,0.05,0.04,0,0.01
230,Nobunaga's Ambition: Iron Triangle,PS2,2006,Strategy,Tecmo Koei,0.04,0.03,0,0.01
231,Colosseum: Road to Freedom,PS2,2005,Role-Playing,Tecmo Koei,0.03,0.03,0,0.01
232,Rec Room Games,Wii,2009,Sports,Destineer,0.35,0,0,0.02
233,Winning Post 7: Maximum 2007,PS2,2007,Sports,Tecmo Koei,0,0,0.02,0
234,The Powerpuff Girls: Relish Rampage,GC,2002,Action,BAM! Entertainment,0.05,0.01,0,0
235,Kidou Senshi V Gundam,SNES,1994,Action,Namco Bandai Games,0,0,0.03,0
236,Suzuki TT Superbikes,PS2,2005,Racing,Jester Interactive,0.33,0.01,0,0.05
237,Okashi na Shima no Peter Pan: Sweet Never Land,PSP,2011,Adventure,Quinrose,0,0,0.02,0
238,Invasion From Beyond,PS,1998,Shooter,GT Interactive,0.05,0.03,0,0.01
239,NBA Street V3,PS2,2005,Sports,Electronic Arts,0.52,0.41,0,0.14
240,Code Name: S.T.E.A.M.,3DS,2015,Strategy,Nintendo,0.14,0.05,0.01,0.02
241,Birthday Party Bash,Wii,2009,Misc,Take-Two Interactive,0.3,0,0,0.02
242,Seaman 2: Peking Genjin Ikusei Kit,PS2,2007,Simulation,Sega,0,0,0.06,0
243,"Lunar 2: Eternal Blue(sales, but wrong system)",GEN,1994,Role-Playing,Game Arts,0,0,0.14,0
244,Petz: Saddle Club,PSP,2009,Simulation,Ubisoft,0.08,0,0,0.01
245,The Inner World,PC,2013,Adventure,Headup Games,0,0.03,0,0
246,PGR3 - Project Gotham Racing 3,X360,2005,Racing,Microsoft Game Studios,0.49,0.03,0.03,0.05
247,JU-ON: The Grudge,Wii,2009,Action,Rising Star Games,0.08,0.01,0.01,0.01
248,Parfait,PSV,2015,Adventure,TGL,0,0,0.03,0
249,Spider-Man: Friend or Foe,Wii,2007,Action,Activision,0.13,0.01,0,0.01
250,Koudelka,PS,1999,Role-Playing,Atari,0.05,0.03,0,0.01
251,Body Harvest,N64,1998,Shooter,Gremlin Interactive Ltd,0.16,0.04,0,0
252,Rugby World Cup 2015,PC,2015,Sports,Ubisoft,0,0.01,0,0
253,Pokemon Trozei!,DS,2005,Puzzle,Nintendo,0.26,0,0.31,0.02
254,Mario Golf,N64,1999,Action,Nintendo,0.62,0.18,0.65,0.02
255,Frogger: Helmet Chaos,PSP,2005,Platform,Konami Digital Entertainment,0.1,0,0,0.01
256,Up,PSP,2009,Action,THQ,0.24,0.1,0,0.07
257,Dishonored,PS3,2012,Action,Bethesda Softworks,0.72,0.54,0.04,0.25
258,Teenage Mutant Ninja Turtles II: The Arcade Game,NES,1990,Action,Konami Digital Entertainment,1.74,0.25,0.21,0.03
259,Frogger 3D,3DS,2011,Action,Konami Digital Entertainment,0.16,0.03,0,0.01
260,Monster Hunter Tri,3DS,2011,Role-Playing,Nintendo,0.46,0.29,1.96,0.07
261,Rosario to Vampire: Tanabata no Miss Youkai Gakuen,DS,2008,Adventure,Capcom,0,0,0.01,0
262,Ape Escape: Pumped & Primed,PS2,2004,Misc,Sony Computer Entertainment,0.04,0.03,0,0.01
263,Just Dance Wii U,WiiU,2014,Misc,Nintendo,0,0,0.09,0
264,SimCity 2000,SAT,1994,Simulation,Sega,0,0,0.28,0
265,Worldwide Soccer Manager 2007,PC,2006,Sports,Sega,0,0.02,0,0
266,Glover,PS,1999,Platform,Atari,0.09,0.06,0,0.01
267,The Witch and the Hundred Knight,PS4,2015,Role-Playing,Nippon Ichi Software,0.02,0.01,0.05,0.01
268,NBA 2K12,PSP,2011,Sports,Take-Two Interactive,0.22,0.03,0,0.03
269,Ping Pals,DS,2004,Misc,THQ,0.1,0,0,0.01
270,UK Truck Simulator,PC,2010,Simulation,Excalibur,0,0.03,0,0
271,Jewel Link Chronicles: Mountains of Madness,DS,2012,Puzzle,Avanquest,0,0.06,0,0.01
272,NFL GameDay 2001,PS2,2000,Sports,Sony Computer Entertainment,0.18,0.14,0,0.05
273,Twisted Metal: Black,PS2,2001,Racing,Sony Computer Entertainment,1.19,0.17,0,0.05
274,One Piece: Unlimited World Red,PS3,2014,Action,Namco Bandai Games,0.09,0.12,0.06,0.05
275,Panzer Tactics,DS,2007,Strategy,10TACLE Studios,0.06,0,0,0
276,Iron Chef America: Supreme Cuisine,DS,2008,Simulation,Destineer,0.18,0,0,0.01
277,Warhammer: Dark Omen,PS,1998,Strategy,Electronic Arts,0.02,0.01,0,0
278,Making History: The Great War,Wii,2010,Strategy,Namco Bandai Games,0,0,0.15,0
279,Chibi-Robo! Zip Lash,3DS,2015,Platform,Nintendo,0.09,0.08,0.06,0.02
280,Bolt,PS3,2008,Adventure,Disney Interactive Studios,0.12,0.05,0,0.02
281,Soldier of Fortune II: Double Helix,XB,2003,Shooter,Activision,0.17,0.05,0,0.01
282,1942,NES,1985,Shooter,Capcom,0.65,0.14,0.21,0
283,Alvin and the Chipmunks: Chipwrecked,X360,2011,Misc,505 Games,0.08,0.01,0,0.01
284,Tony Hawk's Underground 2,GBA,2004,Sports,Activision,0.35,0.13,0,0.01
285,Slam Dunk SD Heat Up!!,SNES,1995,Sports,Namco Bandai Games,0,0,0.05,0
286,Cabela's Dangerous Hunts: Ultimate Challenge,PSP,2006,Sports,Activision Value,0.06,0,0,0
287,FIFA Soccer 2005,GC,2004,Sports,Electronic Arts,0.11,0.03,0,0
288,Apollo Justice: Ace Attorney,DS,2007,Adventure,Capcom,0.32,0.06,0.64,0.04
289,NCAA Football 06,PS2,2005,Sports,Electronic Arts,1.53,0.05,0,0.25
290,Dark Messiah of Might and Magic Elements,X360,2008,Role-Playing,Ubisoft,0.16,0.02,0.01,0.02
291,Samurai Shodown Sen,X360,2009,Fighting,Rising Star Games,0.07,0.01,0,0.01
292,Yourself Fitness,XB,2004,Sports,responDESIGN,0.07,0.02,0,0
293,Global Touring Challenge: Africa,PS2,2001,Racing,Rage Software,0.05,0.04,0,0.01
